Episode,Env,TotalEnvInteracts,AvgEpRet,SurrObj,EntCoef,Seed
1,Humanoid-v2,16384,109.09207439678285,clipping,0.1,1
2,Humanoid-v2,32768,113.6412024930265,clipping,0.1,1
3,Humanoid-v2,49152,110.93769158719346,clipping,0.1,1
4,Humanoid-v2,65536,110.73934948979591,clipping,0.1,1
5,Humanoid-v2,81920,111.78707990397805,clipping,0.1,1
6,Humanoid-v2,98304,111.09836065573771,clipping,0.1,1
7,Humanoid-v2,114688,109.8119826858108,clipping,0.1,1
8,Humanoid-v2,131072,110.85420214577657,clipping,0.1,1
9,Humanoid-v2,147456,110.37107784938942,clipping,0.1,1
10,Humanoid-v2,163840,109.96433102165088,clipping,0.1,1
11,Humanoid-v2,180224,110.53269165535957,clipping,0.1,1
12,Humanoid-v2,196608,108.03795235723771,clipping,0.1,1
13,Humanoid-v2,212992,109.79877277327935,clipping,0.1,1
14,Humanoid-v2,229376,110.71167952849389,clipping,0.1,1
15,Humanoid-v2,245760,108.15618774900399,clipping,0.1,1
16,Humanoid-v2,262144,109.13717954088472,clipping,0.1,1
17,Humanoid-v2,278528,108.36592876165113,clipping,0.1,1
18,Humanoid-v2,294912,109.06624916219839,clipping,0.1,1
19,Humanoid-v2,311296,109.56650101078166,clipping,0.1,1
20,Humanoid-v2,327680,107.83530545424404,clipping,0.1,1
21,Humanoid-v2,344064,109.97547508445946,clipping,0.1,1
22,Humanoid-v2,360448,110.3998560298103,clipping,0.1,1
23,Humanoid-v2,376832,109.27522021812081,clipping,0.1,1
24,Humanoid-v2,393216,110.95673322547684,clipping,0.1,1
25,Humanoid-v2,409600,110.83205782312925,clipping,0.1,1
26,Humanoid-v2,425984,112.05301109009629,clipping,0.1,1
27,Humanoid-v2,442368,110.64259141156462,clipping,0.1,1
28,Humanoid-v2,458752,110.35563305630936,clipping,0.1,1
29,Humanoid-v2,475136,112.75478691217151,clipping,0.1,1
30,Humanoid-v2,491520,113.88837097338936,clipping,0.1,1
31,Humanoid-v2,507904,113.17991599930362,clipping,0.1,1
32,Humanoid-v2,524288,112.51385531767956,clipping,0.1,1
33,Humanoid-v2,540672,110.95451743197279,clipping,0.1,1
34,Humanoid-v2,557056,110.48099347014926,clipping,0.1,1
35,Humanoid-v2,573440,109.75347456199461,clipping,0.1,1
36,Humanoid-v2,589824,109.0302341655496,clipping,0.1,1
37,Humanoid-v2,606208,110.53002035278155,clipping,0.1,1
38,Humanoid-v2,622592,109.90685015161725,clipping,0.1,1
39,Humanoid-v2,638976,109.98027370107962,clipping,0.1,1
40,Humanoid-v2,655360,109.96543943994602,clipping,0.1,1
41,Humanoid-v2,671744,111.96602421016483,clipping,0.1,1
